Movie ID,Title,Director,Genre,Release Year,IMDb Rating
1,The Shawshank Redemption,Frank Darabont,Drama,1994,9.3
2,The Godfather,Francis Ford Coppola,Crime,1972,9.2
3,The Dark Knight,Christopher Nolan,Action,2008,9.0
4,The Godfather Part II,Francis Ford Coppola,Crime,1974,9.0
5,12 Angry Men,Sidney Lumet,Drama,1957,9.0
6,Schindlerâ€™s List,Steven Spielberg,Biography,1993,8.9
7,The Lord of the Rings: The Return of the King,Peter Jackson,Adventure,2003,8.9
8,Pulp Fiction,Quentin Tarantino,Crime,1994,8.9
9,"The Good, the Bad and the Ugly",Sergio Leone,Western,1966,8.8
10,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Adventure,2001,8.8
